model,attribution_method,example_id,warning_type,details
BanglaBERT,Integrated Gradients,0,word_reconstruction_mismatch,"reconstructed length=24, original length=28"
BanglaBERT,Integrated Gradients,1,word_reconstruction_mismatch,"reconstructed length=77, original length=90"
BanglaBERT,Integrated Gradients,2,word_reconstruction_mismatch,"reconstructed length=37, original length=43"
BanglaBERT,Integrated Gradients,3,word_reconstruction_mismatch,"reconstructed length=587, original length=1018"
BanglaBERT,Integrated Gradients,4,word_reconstruction_mismatch,"reconstructed length=35, original length=41"
BanglaBERT,Integrated Gradients,5,word_reconstruction_mismatch,"reconstructed length=184, original length=227"
BanglaBERT,Integrated Gradients,6,word_reconstruction_mismatch,"reconstructed length=75, original length=91"
BanglaBERT,Integrated Gradients,7,word_reconstruction_mismatch,"reconstructed length=30, original length=36"
BanglaBERT,Integrated Gradients,8,word_reconstruction_mismatch,"reconstructed length=7, original length=8"
BanglaBERT,Integrated Gradients,9,word_reconstruction_mismatch,"reconstructed length=20, original length=24"
BanglaBERT,Integrated Gradients,10,word_reconstruction_mismatch,"reconstructed length=199, original length=245"
BanglaBERT,Integrated Gradients,11,word_reconstruction_mismatch,"reconstructed length=74, original length=87"
BanglaBERT,Integrated Gradients,12,word_reconstruction_mismatch,"reconstructed length=93, original length=116"
BanglaBERT,Integrated Gradients,13,word_reconstruction_mismatch,"reconstructed length=17, original length=20"
BanglaBERT,Integrated Gradients,14,word_reconstruction_mismatch,"reconstructed length=58, original length=71"
BanglaBERT,Integrated Gradients,15,word_reconstruction_mismatch,"reconstructed length=36, original length=45"
BanglaBERT,Integrated Gradients,16,word_reconstruction_mismatch,"reconstructed length=33, original length=38"
BanglaBERT,Integrated Gradients,17,word_reconstruction_mismatch,"reconstructed length=16, original length=20"
BanglaBERT,Integrated Gradients,18,word_reconstruction_mismatch,"reconstructed length=185, original length=227"
BanglaBERT,Integrated Gradients,19,word_reconstruction_mismatch,"reconstructed length=65, original length=76"
BanglaBERT,Integrated Gradients,20,word_reconstruction_mismatch,"reconstructed length=88, original length=107"
BanglaBERT,Integrated Gradients,21,word_reconstruction_mismatch,"reconstructed length=106, original length=129"
BanglaBERT,Integrated Gradients,22,word_reconstruction_mismatch,"reconstructed length=52, original length=61"
BanglaBERT,Integrated Gradients,23,word_reconstruction_mismatch,"reconstructed length=72, original length=89"
BanglaBERT,Integrated Gradients,24,word_reconstruction_mismatch,"reconstructed length=76, original length=90"
BanglaBERT,Integrated Gradients,25,word_reconstruction_mismatch,"reconstructed length=100, original length=123"
BanglaBERT,Integrated Gradients,26,word_reconstruction_mismatch,"reconstructed length=15, original length=19"
BanglaBERT,Integrated Gradients,27,word_reconstruction_mismatch,"reconstructed length=23, original length=27"
BanglaBERT,Integrated Gradients,28,word_reconstruction_mismatch,"reconstructed length=32, original length=41"
BanglaBERT,Integrated Gradients,29,word_reconstruction_mismatch,"reconstructed length=45, original length=54"
BanglaBERT,Integrated Gradients,30,word_reconstruction_mismatch,"reconstructed length=125, original length=152"
BanglaBERT,Integrated Gradients,31,word_reconstruction_mismatch,"reconstructed length=20, original length=25"
BanglaBERT,Integrated Gradients,32,word_reconstruction_mismatch,"reconstructed length=38, original length=50"
BanglaBERT,Integrated Gradients,33,word_reconstruction_mismatch,"reconstructed length=270, original length=325"
BanglaBERT,Integrated Gradients,34,word_reconstruction_mismatch,"reconstructed length=54, original length=65"
BanglaBERT,Integrated Gradients,35,word_reconstruction_mismatch,"reconstructed length=208, original length=251"
BanglaBERT,Integrated Gradients,36,word_reconstruction_mismatch,"reconstructed length=59, original length=71"
BanglaBERT,Integrated Gradients,37,word_reconstruction_mismatch,"reconstructed length=83, original length=100"
BanglaBERT,Integrated Gradients,38,word_reconstruction_mismatch,"reconstructed length=79, original length=101"
BanglaBERT,Integrated Gradients,39,word_reconstruction_mismatch,"reconstructed length=45, original length=53"
BanglaBERT,Integrated Gradients,40,word_reconstruction_mismatch,"reconstructed length=66, original length=80"
BanglaBERT,Integrated Gradients,41,word_reconstruction_mismatch,"reconstructed length=68, original length=80"
BanglaBERT,Integrated Gradients,42,word_reconstruction_mismatch,"reconstructed length=55, original length=64"
BanglaBERT,Integrated Gradients,43,word_reconstruction_mismatch,"reconstructed length=83, original length=103"
BanglaBERT,Integrated Gradients,44,word_reconstruction_mismatch,"reconstructed length=84, original length=105"
BanglaBERT,Integrated Gradients,45,word_reconstruction_mismatch,"reconstructed length=19, original length=22"
BanglaBERT,Integrated Gradients,46,word_reconstruction_mismatch,"reconstructed length=26, original length=30"
BanglaBERT,Integrated Gradients,47,word_reconstruction_mismatch,"reconstructed length=42, original length=52"
BanglaBERT,Integrated Gradients,48,word_reconstruction_mismatch,"reconstructed length=203, original length=252"
BanglaBERT,Integrated Gradients,49,word_reconstruction_mismatch,"reconstructed length=86, original length=101"
BanglaBERT,Integrated Gradients,50,word_reconstruction_mismatch,"reconstructed length=46, original length=53"
BanglaBERT,Integrated Gradients,51,word_reconstruction_mismatch,"reconstructed length=33, original length=37"
BanglaBERT,Integrated Gradients,52,word_reconstruction_mismatch,"reconstructed length=117, original length=140"
BanglaBERT,Integrated Gradients,53,word_reconstruction_mismatch,"reconstructed length=34, original length=40"
BanglaBERT,Integrated Gradients,54,word_reconstruction_mismatch,"reconstructed length=115, original length=134"
BanglaBERT,Integrated Gradients,55,word_reconstruction_mismatch,"reconstructed length=9, original length=10"
BanglaBERT,Integrated Gradients,56,word_reconstruction_mismatch,"reconstructed length=46, original length=56"
BanglaBERT,Integrated Gradients,57,word_reconstruction_mismatch,"reconstructed length=15, original length=17"
BanglaBERT,Integrated Gradients,58,word_reconstruction_mismatch,"reconstructed length=16, original length=18"
BanglaBERT,Integrated Gradients,59,word_reconstruction_mismatch,"reconstructed length=154, original length=196"
BanglaBERT,Integrated Gradients,60,word_reconstruction_mismatch,"reconstructed length=62, original length=78"
BanglaBERT,Integrated Gradients,61,word_reconstruction_mismatch,"reconstructed length=35, original length=43"
BanglaBERT,Integrated Gradients,62,word_reconstruction_mismatch,"reconstructed length=18, original length=20"
BanglaBERT,Integrated Gradients,63,word_reconstruction_mismatch,"reconstructed length=131, original length=160"
BanglaBERT,Integrated Gradients,64,word_reconstruction_mismatch,"reconstructed length=133, original length=157"
BanglaBERT,Integrated Gradients,65,word_reconstruction_mismatch,"reconstructed length=49, original length=59"
BanglaBERT,Integrated Gradients,66,word_reconstruction_mismatch,"reconstructed length=36, original length=44"
BanglaBERT,Integrated Gradients,67,word_reconstruction_mismatch,"reconstructed length=188, original length=219"
BanglaBERT,Integrated Gradients,68,word_reconstruction_mismatch,"reconstructed length=184, original length=221"
BanglaBERT,Integrated Gradients,69,word_reconstruction_mismatch,"reconstructed length=28, original length=31"
BanglaBERT,Integrated Gradients,70,word_reconstruction_mismatch,"reconstructed length=31, original length=36"
BanglaBERT,Integrated Gradients,71,word_reconstruction_mismatch,"reconstructed length=13, original length=16"
BanglaBERT,Integrated Gradients,72,word_reconstruction_mismatch,"reconstructed length=43, original length=53"
BanglaBERT,Integrated Gradients,73,word_reconstruction_mismatch,"reconstructed length=24, original length=28"
BanglaBERT,Integrated Gradients,74,word_reconstruction_mismatch,"reconstructed length=18, original length=21"
BanglaBERT,Integrated Gradients,75,word_reconstruction_mismatch,"reconstructed length=19, original length=22"
BanglaBERT,Integrated Gradients,76,word_reconstruction_mismatch,"reconstructed length=15, original length=18"
BanglaBERT,Integrated Gradients,77,word_reconstruction_mismatch,"reconstructed length=11, original length=12"
BanglaBERT,Integrated Gradients,78,word_reconstruction_mismatch,"reconstructed length=40, original length=48"
BanglaBERT,Integrated Gradients,79,word_reconstruction_mismatch,"reconstructed length=8, original length=9"
BanglaBERT,Integrated Gradients,80,word_reconstruction_mismatch,"reconstructed length=85, original length=100"
BanglaBERT,Integrated Gradients,81,word_reconstruction_mismatch,"reconstructed length=9, original length=10"
BanglaBERT,Integrated Gradients,82,word_reconstruction_mismatch,"reconstructed length=124, original length=153"
BanglaBERT,Integrated Gradients,83,word_reconstruction_mismatch,"reconstructed length=18, original length=21"
BanglaBERT,Integrated Gradients,84,word_reconstruction_mismatch,"reconstructed length=28, original length=33"
BanglaBERT,Integrated Gradients,85,word_reconstruction_mismatch,"reconstructed length=76, original length=94"
BanglaBERT,Integrated Gradients,86,word_reconstruction_mismatch,"reconstructed length=70, original length=86"
BanglaBERT,Integrated Gradients,87,word_reconstruction_mismatch,"reconstructed length=23, original length=27"
BanglaBERT,Integrated Gradients,88,word_reconstruction_mismatch,"reconstructed length=49, original length=56"
BanglaBERT,Integrated Gradients,89,word_reconstruction_mismatch,"reconstructed length=42, original length=52"
BanglaBERT,Integrated Gradients,90,word_reconstruction_mismatch,"reconstructed length=50, original length=62"
BanglaBERT,Integrated Gradients,91,word_reconstruction_mismatch,"reconstructed length=22, original length=26"
BanglaBERT,Integrated Gradients,92,word_reconstruction_mismatch,"reconstructed length=40, original length=48"
BanglaBERT,Integrated Gradients,93,word_reconstruction_mismatch,"reconstructed length=86, original length=103"
BanglaBERT,Integrated Gradients,94,word_reconstruction_mismatch,"reconstructed length=15, original length=19"
BanglaBERT,Integrated Gradients,95,word_reconstruction_mismatch,"reconstructed length=21, original length=27"
BanglaBERT,Integrated Gradients,96,word_reconstruction_mismatch,"reconstructed length=10, original length=12"
BanglaBERT,Integrated Gradients,97,word_reconstruction_mismatch,"reconstructed length=85, original length=104"
BanglaBERT,Integrated Gradients,98,word_reconstruction_mismatch,"reconstructed length=26, original length=32"
BanglaBERT,Integrated Gradients,99,word_reconstruction_mismatch,"reconstructed length=52, original length=63"
BanglaBERT,Integrated Gradients,100,word_reconstruction_mismatch,"reconstructed length=117, original length=140"
BanglaBERT,Integrated Gradients,101,word_reconstruction_mismatch,"reconstructed length=41, original length=49"
BanglaBERT,Integrated Gradients,102,word_reconstruction_mismatch,"reconstructed length=52, original length=61"
BanglaBERT,Integrated Gradients,103,word_reconstruction_mismatch,"reconstructed length=33, original length=39"
BanglaBERT,Integrated Gradients,104,word_reconstruction_mismatch,"reconstructed length=208, original length=257"
BanglaBERT,Integrated Gradients,105,word_reconstruction_mismatch,"reconstructed length=11, original length=12"
BanglaBERT,Integrated Gradients,106,word_reconstruction_mismatch,"reconstructed length=23, original length=26"
BanglaBERT,Integrated Gradients,107,word_reconstruction_mismatch,"reconstructed length=41, original length=49"
BanglaBERT,Integrated Gradients,108,word_reconstruction_mismatch,"reconstructed length=72, original length=90"
BanglaBERT,Integrated Gradients,109,word_reconstruction_mismatch,"reconstructed length=60, original length=72"
