model,attribution_method,example_id,warning_type,details
XLM-R,Integrated Gradients,1179,subword_count_mismatch,"Subwords count mismatch: subwords=42, content_tokens=43, total_tokens=45"
XLM-R,Integrated Gradients,2757,subword_count_mismatch,"Subwords count mismatch: subwords=19, content_tokens=20, total_tokens=22"
XLM-R,Integrated Gradients,2769,subword_count_mismatch,"Subwords count mismatch: subwords=23, content_tokens=24, total_tokens=26"
BanglaBERT,SHAP,3,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=201, total_tokens=203"
BanglaBERT,SHAP,167,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=258, total_tokens=260"
BanglaBERT,SHAP,274,subword_count_mismatch,"Subwords count mismatch: subwords=16, content_tokens=17, total_tokens=18"
BanglaBERT,SHAP,472,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=379, total_tokens=381"
BanglaBERT,SHAP,517,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=133, total_tokens=135"
BanglaBERT,SHAP,602,subword_count_mismatch,"Subwords count mismatch: subwords=8, content_tokens=9, total_tokens=10"
BanglaBERT,SHAP,802,subword_count_mismatch,"Subwords count mismatch: subwords=6, content_tokens=7, total_tokens=8"
BanglaBERT,SHAP,927,subword_count_mismatch,"Subwords count mismatch: subwords=11, content_tokens=12, total_tokens=13"
BanglaBERT,SHAP,1043,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=174, total_tokens=176"
BanglaBERT,SHAP,1082,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=166, total_tokens=168"
BanglaBERT,SHAP,1298,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=271, total_tokens=273"
BanglaBERT,SHAP,1409,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=195, total_tokens=197"
BanglaBERT,SHAP,1492,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=367, total_tokens=369"
BanglaBERT,SHAP,1636,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=237, total_tokens=239"
BanglaBERT,SHAP,1725,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=179, total_tokens=181"
BanglaBERT,SHAP,1759,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=188, total_tokens=190"
BanglaBERT,SHAP,1802,subword_count_mismatch,"Subwords count mismatch: subwords=14, content_tokens=15, total_tokens=16"
BanglaBERT,SHAP,2071,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=315, total_tokens=317"
BanglaBERT,SHAP,2163,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=167, total_tokens=169"
BanglaBERT,SHAP,2179,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=298, total_tokens=300"
BanglaBERT,SHAP,2269,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=127, total_tokens=129"
BanglaBERT,SHAP,2294,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=249, total_tokens=251"
BanglaBERT,SHAP,2315,subword_count_mismatch,"Subwords count mismatch: subwords=126, content_tokens=139, total_tokens=141"
