example_id,coverage,target_words,strategy,variant,actual_coverage,comprehensiveness,sufficiency,total_words
2525,0.05,1,sum,none,1.0,0.6,0.5,9
2525,0.05,1,mean,none,1.0,0.6,0.5,9
2525,0.05,1,max,none,1.0,0.6,0.5,9
2525,0.05,1,hierarchical,trimming,1.0,0.51,0.4,9
2525,0.05,1,hierarchical,floor,1.0,0.51,0.4,9
2525,0.05,1,hierarchical,ceiling,1.0,0.51,0.4,9
2525,0.1,1,sum,none,1.0,0.6,0.5,9
2525,0.1,1,mean,none,1.0,0.6,0.5,9
2525,0.1,1,max,none,1.0,0.6,0.5,9
2525,0.1,1,hierarchical,trimming,1.0,0.51,0.4,9
2525,0.1,1,hierarchical,floor,1.0,0.51,0.4,9
2525,0.1,1,hierarchical,ceiling,1.0,0.51,0.4,9
2525,0.15,2,sum,none,1.0,0.6,0.5,9
2525,0.15,2,mean,none,1.0,0.6,0.5,9
2525,0.15,2,max,none,1.0,0.6,0.5,9
2525,0.15,2,hierarchical,trimming,1.0,0.51,0.4,9
2525,0.15,2,hierarchical,floor,0.5,0.2975,0.52,9
2525,0.15,2,hierarchical,ceiling,3.0,1.36,-0.0799999999999999,9
2525,0.2,2,sum,none,1.0,0.6,0.5,9
2525,0.2,2,mean,none,1.0,0.6,0.5,9
2525,0.2,2,max,none,1.0,0.6,0.5,9
2525,0.2,2,hierarchical,trimming,1.0,0.51,0.4,9
2525,0.2,2,hierarchical,floor,0.5,0.2975,0.52,9
2525,0.2,2,hierarchical,ceiling,3.0,1.36,-0.0799999999999999,9
2525,0.25,3,sum,none,1.0,0.6,0.5,9
2525,0.25,3,mean,none,1.0,0.6,0.5,9
2525,0.25,3,max,none,1.0,0.6,0.5,9
2525,0.25,3,hierarchical,trimming,1.0,0.51,0.4,9
2525,0.25,3,hierarchical,floor,0.3333333333333333,0.22666666666666666,0.56,9
2525,0.25,3,hierarchical,ceiling,2.0,0.935,0.16000000000000006,9
2525,0.3,3,sum,none,1.0,0.6,0.5,9
2525,0.3,3,mean,none,1.0,0.6,0.5,9
2525,0.3,3,max,none,1.0,0.6,0.5,9
2525,0.3,3,hierarchical,trimming,1.0,0.51,0.4,9
2525,0.3,3,hierarchical,floor,0.3333333333333333,0.22666666666666666,0.56,9
2525,0.3,3,hierarchical,ceiling,2.0,0.935,0.16000000000000006,9
2922,0.05,1,sum,none,1.0,0.6,0.5,5
2922,0.05,1,mean,none,1.0,0.6,0.5,5
2922,0.05,1,max,none,1.0,0.6,0.5,5
2922,0.05,1,hierarchical,trimming,1.0,0.51,0.4,5
2922,0.05,1,hierarchical,floor,0.0,0.085,0.6400000000000001,5
2922,0.05,1,hierarchical,ceiling,5.0,2.21,-0.5599999999999999,5
2922,0.1,1,sum,none,1.0,0.6,0.5,5
2922,0.1,1,mean,none,1.0,0.6,0.5,5
2922,0.1,1,max,none,1.0,0.6,0.5,5
2922,0.1,1,hierarchical,trimming,1.0,0.51,0.4,5
2922,0.1,1,hierarchical,floor,0.0,0.085,0.6400000000000001,5
2922,0.1,1,hierarchical,ceiling,5.0,2.21,-0.5599999999999999,5
2922,0.15,1,sum,none,1.0,0.6,0.5,5
2922,0.15,1,mean,none,1.0,0.6,0.5,5
2922,0.15,1,max,none,1.0,0.6,0.5,5
2922,0.15,1,hierarchical,trimming,1.0,0.51,0.4,5
2922,0.15,1,hierarchical,floor,0.0,0.085,0.6400000000000001,5
2922,0.15,1,hierarchical,ceiling,5.0,2.21,-0.5599999999999999,5
2922,0.2,1,sum,none,1.0,0.6,0.5,5
2922,0.2,1,mean,none,1.0,0.6,0.5,5
2922,0.2,1,max,none,1.0,0.6,0.5,5
2922,0.2,1,hierarchical,trimming,1.0,0.51,0.4,5
2922,0.2,1,hierarchical,floor,0.0,0.085,0.6400000000000001,5
2922,0.2,1,hierarchical,ceiling,5.0,2.21,-0.5599999999999999,5
2922,0.25,2,sum,none,1.0,0.6,0.5,5
2922,0.25,2,mean,none,1.0,0.6,0.5,5
2922,0.25,2,max,none,1.0,0.6,0.5,5
2922,0.25,2,hierarchical,trimming,1.0,0.51,0.4,5
2922,0.25,2,hierarchical,floor,0.0,0.085,0.6400000000000001,5
2922,0.25,2,hierarchical,ceiling,2.5,1.1475,0.040000000000000036,5
2922,0.3,2,sum,none,1.0,0.6,0.5,5
2922,0.3,2,mean,none,1.0,0.6,0.5,5
2922,0.3,2,max,none,1.0,0.6,0.5,5
2922,0.3,2,hierarchical,trimming,1.0,0.51,0.4,5
2922,0.3,2,hierarchical,floor,0.0,0.085,0.6400000000000001,5
2922,0.3,2,hierarchical,ceiling,2.5,1.1475,0.040000000000000036,5
889,0.05,2,sum,none,1.0,0.6,0.5,29
889,0.05,2,mean,none,1.0,0.6,0.5,29
889,0.05,2,max,none,1.0,0.6,0.5,29
889,0.05,2,hierarchical,trimming,1.0,0.51,0.4,29
889,0.05,2,hierarchical,floor,0.0,0.085,0.6400000000000001,29
889,0.05,2,hierarchical,ceiling,2.0,0.935,0.16000000000000006,29
889,0.1,3,sum,none,1.0,0.6,0.5,29
889,0.1,3,mean,none,1.0,0.6,0.5,29
889,0.1,3,max,none,1.0,0.6,0.5,29
889,0.1,3,hierarchical,trimming,1.0,0.51,0.4,29
889,0.1,3,hierarchical,floor,0.0,0.085,0.6400000000000001,29
889,0.1,3,hierarchical,ceiling,1.3333333333333333,0.6516666666666666,0.32000000000000006,29
889,0.15,5,sum,none,1.0,0.6,0.5,29
889,0.15,5,mean,none,1.0,0.6,0.5,29
889,0.15,5,max,none,1.0,0.6,0.5,29
889,0.15,5,hierarchical,trimming,1.0,0.51,0.4,29
889,0.15,5,hierarchical,floor,0.8,0.425,0.44800000000000006,29
889,0.15,5,hierarchical,ceiling,1.8,0.85,0.20800000000000002,29
889,0.2,6,sum,none,1.0,0.6,0.5,29
889,0.2,6,mean,none,1.0,0.6,0.5,29
889,0.2,6,max,none,1.0,0.6,0.5,29
889,0.2,6,hierarchical,trimming,1.0,0.51,0.4,29
889,0.2,6,hierarchical,floor,0.6666666666666666,0.36833333333333335,0.4800000000000001,29
889,0.2,6,hierarchical,ceiling,1.5,0.7224999999999999,0.2800000000000001,29
889,0.25,8,sum,none,1.0,0.6,0.5,29
889,0.25,8,mean,none,1.0,0.6,0.5,29
889,0.25,8,max,none,1.0,0.6,0.5,29
889,0.25,8,hierarchical,trimming,1.0,0.51,0.4,29
889,0.25,8,hierarchical,floor,0.5,0.2975,0.52,29
889,0.25,8,hierarchical,ceiling,1.125,0.563125,0.3700000000000001,29
889,0.3,9,sum,none,1.0,0.6,0.5,29
889,0.3,9,mean,none,1.0,0.6,0.5,29
889,0.3,9,max,none,1.0,0.6,0.5,29
889,0.3,9,hierarchical,trimming,1.0,0.51,0.4,29
889,0.3,9,hierarchical,floor,1.0,0.51,0.4,29
889,0.3,9,hierarchical,ceiling,1.0,0.51,0.4,29
657,0.05,1,sum,none,1.0,0.6,0.5,13
657,0.05,1,mean,none,1.0,0.6,0.5,13
657,0.05,1,max,none,1.0,0.6,0.5,13
657,0.05,1,hierarchical,trimming,1.0,0.51,0.4,13
657,0.05,1,hierarchical,floor,1.0,0.51,0.4,13
657,0.05,1,hierarchical,ceiling,1.0,0.51,0.4,13
657,0.1,2,sum,none,1.0,0.6,0.5,13
657,0.1,2,mean,none,1.0,0.6,0.5,13
657,0.1,2,max,none,1.0,0.6,0.5,13
657,0.1,2,hierarchical,trimming,1.0,0.51,0.4,13
657,0.1,2,hierarchical,floor,0.5,0.2975,0.52,13
657,0.1,2,hierarchical,ceiling,3.0,1.36,-0.0799999999999999,13
657,0.15,2,sum,none,1.0,0.6,0.5,13
657,0.15,2,mean,none,1.0,0.6,0.5,13
657,0.15,2,max,none,1.0,0.6,0.5,13
657,0.15,2,hierarchical,trimming,1.0,0.51,0.4,13
657,0.15,2,hierarchical,floor,0.5,0.2975,0.52,13
657,0.15,2,hierarchical,ceiling,3.0,1.36,-0.0799999999999999,13
657,0.2,3,sum,none,1.0,0.6,0.5,13
657,0.2,3,mean,none,1.0,0.6,0.5,13
657,0.2,3,max,none,1.0,0.6,0.5,13
657,0.2,3,hierarchical,trimming,1.0,0.51,0.4,13
657,0.2,3,hierarchical,floor,0.3333333333333333,0.22666666666666666,0.56,13
657,0.2,3,hierarchical,ceiling,2.0,0.935,0.16000000000000006,13
657,0.25,4,sum,none,1.0,0.6,0.5,13
657,0.25,4,mean,none,1.0,0.6,0.5,13
657,0.25,4,max,none,1.0,0.6,0.5,13
657,0.25,4,hierarchical,trimming,1.0,0.51,0.4,13
657,0.25,4,hierarchical,floor,0.25,0.19125,0.5800000000000001,13
657,0.25,4,hierarchical,ceiling,1.5,0.7224999999999999,0.2800000000000001,13
657,0.3,4,sum,none,1.0,0.6,0.5,13
657,0.3,4,mean,none,1.0,0.6,0.5,13
657,0.3,4,max,none,1.0,0.6,0.5,13
657,0.3,4,hierarchical,trimming,1.0,0.51,0.4,13
657,0.3,4,hierarchical,floor,0.25,0.19125,0.5800000000000001,13
657,0.3,4,hierarchical,ceiling,1.5,0.7224999999999999,0.2800000000000001,13
3282,0.05,1,sum,none,1.0,0.6,0.5,7
3282,0.05,1,mean,none,1.0,0.6,0.5,7
3282,0.05,1,max,none,1.0,0.6,0.5,7
3282,0.05,1,hierarchical,trimming,1.0,0.51,0.4,7
3282,0.05,1,hierarchical,floor,0.0,0.085,0.6400000000000001,7
3282,0.05,1,hierarchical,ceiling,5.0,2.21,-0.5599999999999999,7
3282,0.1,1,sum,none,1.0,0.6,0.5,7
3282,0.1,1,mean,none,1.0,0.6,0.5,7
3282,0.1,1,max,none,1.0,0.6,0.5,7
3282,0.1,1,hierarchical,trimming,1.0,0.51,0.4,7
3282,0.1,1,hierarchical,floor,0.0,0.085,0.6400000000000001,7
3282,0.1,1,hierarchical,ceiling,5.0,2.21,-0.5599999999999999,7
3282,0.15,2,sum,none,1.0,0.6,0.5,7
3282,0.15,2,mean,none,1.0,0.6,0.5,7
3282,0.15,2,max,none,1.0,0.6,0.5,7
3282,0.15,2,hierarchical,trimming,1.0,0.51,0.4,7
3282,0.15,2,hierarchical,floor,0.0,0.085,0.6400000000000001,7
3282,0.15,2,hierarchical,ceiling,2.5,1.1475,0.040000000000000036,7
3282,0.2,2,sum,none,1.0,0.6,0.5,7
3282,0.2,2,mean,none,1.0,0.6,0.5,7
3282,0.2,2,max,none,1.0,0.6,0.5,7
3282,0.2,2,hierarchical,trimming,1.0,0.51,0.4,7
3282,0.2,2,hierarchical,floor,0.0,0.085,0.6400000000000001,7
3282,0.2,2,hierarchical,ceiling,2.5,1.1475,0.040000000000000036,7
3282,0.25,2,sum,none,1.0,0.6,0.5,7
3282,0.25,2,mean,none,1.0,0.6,0.5,7
3282,0.25,2,max,none,1.0,0.6,0.5,7
3282,0.25,2,hierarchical,trimming,1.0,0.51,0.4,7
3282,0.25,2,hierarchical,floor,0.0,0.085,0.6400000000000001,7
3282,0.25,2,hierarchical,ceiling,2.5,1.1475,0.040000000000000036,7
3282,0.3,3,sum,none,1.0,0.6,0.5,7
3282,0.3,3,mean,none,1.0,0.6,0.5,7
3282,0.3,3,max,none,1.0,0.6,0.5,7
3282,0.3,3,hierarchical,trimming,1.0,0.51,0.4,7
3282,0.3,3,hierarchical,floor,0.0,0.085,0.6400000000000001,7
3282,0.3,3,hierarchical,ceiling,1.6666666666666667,0.7933333333333333,0.24000000000000005,7
838,0.05,1,sum,none,1.0,0.6,0.5,8
838,0.05,1,mean,none,1.0,0.6,0.5,8
838,0.05,1,max,none,1.0,0.6,0.5,8
838,0.05,1,hierarchical,trimming,1.0,0.51,0.4,8
838,0.05,1,hierarchical,floor,1.0,0.51,0.4,8
838,0.05,1,hierarchical,ceiling,1.0,0.51,0.4,8
838,0.1,1,sum,none,1.0,0.6,0.5,8
838,0.1,1,mean,none,1.0,0.6,0.5,8
838,0.1,1,max,none,1.0,0.6,0.5,8
838,0.1,1,hierarchical,trimming,1.0,0.51,0.4,8
838,0.1,1,hierarchical,floor,1.0,0.51,0.4,8
838,0.1,1,hierarchical,ceiling,1.0,0.51,0.4,8
838,0.15,2,sum,none,1.0,0.6,0.5,8
838,0.15,2,mean,none,1.0,0.6,0.5,8
838,0.15,2,max,none,1.0,0.6,0.5,8
838,0.15,2,hierarchical,trimming,1.0,0.51,0.4,8
838,0.15,2,hierarchical,floor,0.5,0.2975,0.52,8
838,0.15,2,hierarchical,ceiling,3.0,1.36,-0.0799999999999999,8
838,0.2,2,sum,none,1.0,0.6,0.5,8
838,0.2,2,mean,none,1.0,0.6,0.5,8
838,0.2,2,max,none,1.0,0.6,0.5,8
838,0.2,2,hierarchical,trimming,1.0,0.51,0.4,8
838,0.2,2,hierarchical,floor,0.5,0.2975,0.52,8
838,0.2,2,hierarchical,ceiling,3.0,1.36,-0.0799999999999999,8
838,0.25,2,sum,none,1.0,0.6,0.5,8
838,0.25,2,mean,none,1.0,0.6,0.5,8
838,0.25,2,max,none,1.0,0.6,0.5,8
838,0.25,2,hierarchical,trimming,1.0,0.51,0.4,8
838,0.25,2,hierarchical,floor,0.5,0.2975,0.52,8
838,0.25,2,hierarchical,ceiling,3.0,1.36,-0.0799999999999999,8
838,0.3,3,sum,none,1.0,0.6,0.5,8
838,0.3,3,mean,none,1.0,0.6,0.5,8
838,0.3,3,max,none,1.0,0.6,0.5,8
838,0.3,3,hierarchical,trimming,1.0,0.51,0.4,8
838,0.3,3,hierarchical,floor,0.3333333333333333,0.22666666666666666,0.56,8
838,0.3,3,hierarchical,ceiling,2.0,0.935,0.16000000000000006,8
2344,0.05,1,sum,none,1.0,0.6,0.5,6
2344,0.05,1,mean,none,1.0,0.6,0.5,6
2344,0.05,1,max,none,1.0,0.6,0.5,6
2344,0.05,1,hierarchical,trimming,1.0,0.51,0.4,6
2344,0.05,1,hierarchical,floor,1.0,0.51,0.4,6
2344,0.05,1,hierarchical,ceiling,1.0,0.51,0.4,6
2344,0.1,1,sum,none,1.0,0.6,0.5,6
2344,0.1,1,mean,none,1.0,0.6,0.5,6
2344,0.1,1,max,none,1.0,0.6,0.5,6
2344,0.1,1,hierarchical,trimming,1.0,0.51,0.4,6
2344,0.1,1,hierarchical,floor,1.0,0.51,0.4,6
2344,0.1,1,hierarchical,ceiling,1.0,0.51,0.4,6
2344,0.15,1,sum,none,1.0,0.6,0.5,6
2344,0.15,1,mean,none,1.0,0.6,0.5,6
2344,0.15,1,max,none,1.0,0.6,0.5,6
2344,0.15,1,hierarchical,trimming,1.0,0.51,0.4,6
2344,0.15,1,hierarchical,floor,1.0,0.51,0.4,6
2344,0.15,1,hierarchical,ceiling,1.0,0.51,0.4,6
2344,0.2,2,sum,none,1.0,0.6,0.5,6
2344,0.2,2,mean,none,1.0,0.6,0.5,6
2344,0.2,2,max,none,1.0,0.6,0.5,6
2344,0.2,2,hierarchical,trimming,1.0,0.51,0.4,6
2344,0.2,2,hierarchical,floor,0.5,0.2975,0.52,6
2344,0.2,2,hierarchical,ceiling,3.0,1.36,-0.0799999999999999,6
2344,0.25,2,sum,none,1.0,0.6,0.5,6
2344,0.25,2,mean,none,1.0,0.6,0.5,6
