strategy,budget,avg_comp_coverage,avg_suff_coverage
sum,10,0.16916961817728376,0.16916961817728376
sum,20,0.2131633665653664,0.2131633665653664
sum,30,0.2790338724163238,0.2790338724163238
mean,10,0.16916961817728376,0.16916961817728376
mean,20,0.2131633665653664,0.2131633665653664
mean,30,0.2790338724163238,0.2790338724163238
max,10,0.16916961817728376,0.16916961817728376
max,20,0.2131633665653664,0.2131633665653664
max,30,0.2790338724163238,0.2790338724163238
hierarchical,10,0.31339979273792384,0.31339979273792384
hierarchical,20,0.3334100059849101,0.3334100059849101
hierarchical,30,0.3698869967455732,0.3698869967455732
