comparison,metric,baseline,budget,raw_p,holm_p,significant_raw,significant_holm,cohen_dz
hierarchical_vs_sum,comprehensiveness,sum,10,9.999000099990002e-05,0.0035996400359964006,True,True,0.41673643833775026
hierarchical_vs_sum,sufficiency,sum,10,9.999000099990002e-05,0.0034996500349965005,True,True,-0.5410418565299923
hierarchical_vs_sum,comp_efficiency,sum,10,9.999000099990002e-05,0.0033996600339966003,True,True,-0.08016547933803876
hierarchical_vs_sum,suff_efficiency,sum,10,9.999000099990002e-05,0.0032996700329967006,True,True,-0.5653391264353438
hierarchical_vs_sum,comprehensiveness,sum,20,9.999000099990002e-05,0.0031996800319968005,True,True,0.3176744171809352
hierarchical_vs_sum,sufficiency,sum,20,9.999000099990002e-05,0.0030996900309969004,True,True,-0.4615335160041032
hierarchical_vs_sum,comp_efficiency,sum,20,9.999000099990002e-05,0.0029997000299970007,True,True,-0.07687234245179211
hierarchical_vs_sum,suff_efficiency,sum,20,9.999000099990002e-05,0.0028997100289971005,True,True,-0.5107851383284663
hierarchical_vs_sum,comprehensiveness,sum,30,9.999000099990002e-05,0.0027997200279972004,True,True,0.22390406974593177
hierarchical_vs_sum,sufficiency,sum,30,9.999000099990002e-05,0.0026997300269973002,True,True,-0.33279288501101156
hierarchical_vs_sum,comp_efficiency,sum,30,0.0065993400659934,0.0263973602639736,True,True,-0.03783381504351053
hierarchical_vs_sum,suff_efficiency,sum,30,9.999000099990002e-05,0.0025997400259974005,True,True,-0.3775015497143044
hierarchical_vs_mean,comprehensiveness,mean,10,9.999000099990002e-05,0.0024997500249975004,True,True,0.45371643706222453
hierarchical_vs_mean,sufficiency,mean,10,9.999000099990002e-05,0.0022997700229977006,True,True,-0.5690692893945445
hierarchical_vs_mean,comp_efficiency,mean,10,0.3578642135786421,0.0,False,False,0.01309854880645435
hierarchical_vs_mean,suff_efficiency,mean,10,9.999000099990002e-05,0.0023997600239976003,True,True,-0.5883034171109645
hierarchical_vs_mean,comprehensiveness,mean,20,9.999000099990002e-05,0.0020997900209979003,True,True,0.3741599948802826
hierarchical_vs_mean,sufficiency,mean,20,9.999000099990002e-05,0.0021997800219978004,True,True,-0.5103264308779041
hierarchical_vs_mean,comp_efficiency,mean,20,0.028897110288971104,0.08669133086691332,True,False,0.030949531301577755
hierarchical_vs_mean,suff_efficiency,mean,20,9.999000099990002e-05,0.0017998200179982003,True,True,-0.5521998063761365
hierarchical_vs_mean,comprehensiveness,mean,30,9.999000099990002e-05,0.0016998300169983002,True,True,0.2916313770175428
hierarchical_vs_mean,sufficiency,mean,30,9.999000099990002e-05,0.0014998500149985003,True,True,-0.396652028583597
hierarchical_vs_mean,comp_efficiency,mean,30,9.999000099990002e-05,0.0015998400159984002,True,True,0.059525111634841116
hierarchical_vs_mean,suff_efficiency,mean,30,9.999000099990002e-05,0.0013998600139986002,True,True,-0.4310557453044754
hierarchical_vs_max,comprehensiveness,max,10,9.999000099990002e-05,0.0012998700129987003,True,True,0.4192791746944791
hierarchical_vs_max,sufficiency,max,10,9.999000099990002e-05,0.0018998100189981002,True,True,-0.545376954133275
hierarchical_vs_max,comp_efficiency,max,10,9.999000099990002e-05,0.000999900009999,True,True,-0.05987965206469279
hierarchical_vs_max,suff_efficiency,max,10,9.999000099990002e-05,0.0008999100089991002,True,True,-0.5703401985415907
hierarchical_vs_max,comprehensiveness,max,20,9.999000099990002e-05,0.001999800019998,True,True,0.325477919759125
hierarchical_vs_max,sufficiency,max,20,9.999000099990002e-05,0.0010998900109989002,True,True,-0.46231926466624046
hierarchical_vs_max,comp_efficiency,max,20,0.00019998000199980003,0.000999900009999,True,True,-0.06253804027370397
hierarchical_vs_max,suff_efficiency,max,20,9.999000099990002e-05,0.0011998800119988001,True,True,-0.5125992463271316
hierarchical_vs_max,comprehensiveness,max,30,9.999000099990002e-05,0.0005999400059994001,True,True,0.2288892273835892
hierarchical_vs_max,sufficiency,max,30,9.999000099990002e-05,0.0007999200079992001,True,True,-0.33968287753743703
hierarchical_vs_max,comp_efficiency,max,30,0.054394560543945605,0.0,False,False,-0.027048007648758702
hierarchical_vs_max,suff_efficiency,max,30,9.999000099990002e-05,0.0006999300069993001,True,True,-0.3818855152219838
