metric,budget,baseline_strategy,n_examples,mean_hierarchical,mean_baseline,delta,ci_low,ci_high,p_value,cohens_dz,direction
comprehensiveness,10,sum,5029,0.30358792488155995,0.1664511628090064,0.13713676207255351,0.1279708787539667,0.14619057414955725,9.999000099990002e-05,0.41673643833775026,baseline_better
sufficiency,10,sum,5029,0.183562947704096,0.3606903307096076,-0.1771273830055116,-0.18631322401317102,-0.1681620940419236,9.999000099990002e-05,-0.5410418565299923,hierarchical_better
comp_efficiency,10,sum,5029,1.0956986132601882,1.2663210973967083,-0.17062248413652045,-0.22899832699982373,-0.11282235527872504,9.999000099990002e-05,-0.08016547933803876,hierarchical_better
suff_efficiency,10,sum,5029,1.1941146243251535,3.493316707963618,-2.299202083638465,-2.4127858341035466,-2.1882168331016416,9.999000099990002e-05,-0.5653391264353438,hierarchical_better
comprehensiveness,20,sum,5029,0.3093540345969421,0.2106754361399701,0.09867859845697198,0.09008772782836946,0.1074941992735925,9.999000099990002e-05,0.3176744171809352,baseline_better
sufficiency,20,sum,5029,0.17445330806503853,0.3114783258437903,-0.13702501777875176,-0.1453256978473187,-0.12870901757042136,9.999000099990002e-05,-0.4615335160041032,hierarchical_better
comp_efficiency,20,sum,5029,1.0133344667509103,1.1201887348393613,-0.10685426808845103,-0.14539489992868992,-0.0674063653718509,9.999000099990002e-05,-0.07687234245179211,hierarchical_better
suff_efficiency,20,sum,5029,0.8068250348437228,1.8315942888580397,-1.0247692540143167,-1.0816508217592171,-0.9688026526918334,9.999000099990002e-05,-0.5107851383284663,hierarchical_better
comprehensiveness,30,sum,5029,0.3182818515164067,0.2524814074158077,0.06580044410059899,0.057573147102425636,0.07402544968307867,9.999000099990002e-05,0.22390406974593177,baseline_better
sufficiency,30,sum,5029,0.15587527924597386,0.24301171360257678,-0.08713643435660293,-0.09448089671894401,-0.07981719665279345,9.999000099990002e-05,-0.33279288501101156,hierarchical_better
