Budget,Baseline,Metric,Δ (H-B),95% CI,Permutation p,Effect Size,Direction
10%,sum,comprehensiveness,0.1371,"[0.1280, 0.1462]",0.0001,0.0000,baseline_better
10%,sum,sufficiency,-0.1771,"[-0.1863, -0.1682]",0.0001,0.0000,hierarchical_better
10%,sum,comp_efficiency,-0.1706,"[-0.2290, -0.1128]",0.0001,0.0000,hierarchical_better
10%,sum,suff_efficiency,-2.2992,"[-2.4128, -2.1882]",0.0001,0.0000,hierarchical_better
20%,sum,comprehensiveness,0.0987,"[0.0901, 0.1075]",0.0001,0.0000,baseline_better
20%,sum,sufficiency,-0.1370,"[-0.1453, -0.1287]",0.0001,0.0000,hierarchical_better
20%,sum,comp_efficiency,-0.1069,"[-0.1454, -0.0674]",0.0001,0.0000,hierarchical_better
20%,sum,suff_efficiency,-1.0248,"[-1.0817, -0.9688]",0.0001,0.0000,hierarchical_better
30%,sum,comprehensiveness,0.0658,"[0.0576, 0.0740]",0.0001,0.0000,baseline_better
30%,sum,sufficiency,-0.0871,"[-0.0945, -0.0798]",0.0001,0.0000,hierarchical_better
30%,sum,comp_efficiency,-0.0374,"[-0.0648, -0.0103]",0.0066,0.0000,hierarchical_better
30%,sum,suff_efficiency,-0.4452,"[-0.4783, -0.4125]",0.0001,0.0000,hierarchical_better
10%,mean,comprehensiveness,0.1603,"[0.1506, 0.1703]",0.0001,0.0000,baseline_better
10%,mean,sufficiency,-0.1993,"[-0.2091, -0.1897]",0.0001,0.0000,hierarchical_better
10%,mean,comp_efficiency,0.0280,"[-0.0307, 0.0868]",0.3579,0.0000,baseline_better
10%,mean,suff_efficiency,-2.4656,"[-2.5818, -2.3512]",0.0001,0.0000,hierarchical_better
20%,mean,comprehensiveness,0.1252,"[0.1160, 0.1345]",0.0001,0.0000,baseline_better
20%,mean,sufficiency,-0.1663,"[-0.1753, -0.1573]",0.0001,0.0000,hierarchical_better
20%,mean,comp_efficiency,0.0446,"[0.0052, 0.0843]",0.0289,0.0000,baseline_better
20%,mean,suff_efficiency,-1.1919,"[-1.2524, -1.1324]",0.0001,0.0000,hierarchical_better
30%,mean,comprehensiveness,0.0914,"[0.0828, 0.1001]",0.0001,0.0000,baseline_better
30%,mean,sufficiency,-0.1169,"[-0.1251, -0.1087]",0.0001,0.0000,hierarchical_better
30%,mean,comp_efficiency,0.0620,"[0.0335, 0.0908]",0.0001,0.0000,baseline_better
30%,mean,suff_efficiency,-0.5675,"[-0.6038, -0.5306]",0.0001,0.0000,hierarchical_better
10%,max,comprehensiveness,0.1415,"[0.1323, 0.1510]",0.0001,0.0000,baseline_better
10%,max,sufficiency,-0.1826,"[-0.1918, -0.1733]",0.0001,0.0000,hierarchical_better
10%,max,comp_efficiency,-0.1298,"[-0.1895, -0.0702]",0.0001,0.0000,hierarchical_better
10%,max,suff_efficiency,-2.3413,"[-2.4559, -2.2284]",0.0001,0.0000,hierarchical_better
20%,max,comprehensiveness,0.1025,"[0.0939, 0.1114]",0.0001,0.0000,baseline_better
20%,max,sufficiency,-0.1411,"[-0.1495, -0.1327]",0.0001,0.0000,hierarchical_better
20%,max,comp_efficiency,-0.0878,"[-0.1264, -0.0495]",0.0002,0.0000,hierarchical_better
20%,max,suff_efficiency,-1.0462,"[-1.1030, -0.9896]",0.0001,0.0000,hierarchical_better
30%,max,comprehensiveness,0.0691,"[0.0609, 0.0775]",0.0001,0.0000,baseline_better
30%,max,sufficiency,-0.0912,"[-0.0986, -0.0837]",0.0001,0.0000,hierarchical_better
30%,max,comp_efficiency,-0.0276,"[-0.0555, 0.0004]",0.0544,0.0000,hierarchical_better
30%,max,suff_efficiency,-0.4613,"[-0.4954, -0.4276]",0.0001,0.0000,hierarchical_better
