model,budget,aggregation,metric,delta,ci_lower,ci_upper
N/A (combined evaluation),10,max,comp_efficiency,-0.1298468162393688,-0.1894848999088184,-0.070190366251619
N/A (combined evaluation),10,mean,comp_efficiency,0.0280396325367652,-0.0306761005393515,0.0868297394210461
N/A (combined evaluation),10,sum,comp_efficiency,-0.1706224841365204,-0.2289983269998237,-0.112822355278725
N/A (combined evaluation),20,max,comp_efficiency,-0.0878341197031431,-0.1264071033014986,-0.0494552205844773
N/A (combined evaluation),20,mean,comp_efficiency,0.0446143872484397,0.0051664072817318,0.0842601735898191
N/A (combined evaluation),20,sum,comp_efficiency,-0.106854268088451,-0.1453948999286899,-0.0674063653718509
N/A (combined evaluation),30,max,comp_efficiency,-0.0276322720770642,-0.0554536825630084,0.0004258309285072
N/A (combined evaluation),30,mean,comp_efficiency,0.062012954767579,0.0334741917240262,0.0908210128536415
N/A (combined evaluation),30,sum,comp_efficiency,-0.0373750712653464,-0.0647833077871889,-0.0103033410848648
N/A (combined evaluation),10,max,comprehensiveness,0.1414882879978828,0.1322941671281191,0.1510073970410123
N/A (combined evaluation),10,mean,comprehensiveness,0.1603473323106774,0.1505819952218799,0.17027582981605
N/A (combined evaluation),10,sum,comprehensiveness,0.1371367620725535,0.1279708787539667,0.1461905741495572
N/A (combined evaluation),20,max,comprehensiveness,0.1025326667112948,0.0939436073834316,0.1114087939261782
N/A (combined evaluation),20,mean,comprehensiveness,0.1251682511360302,0.1159557950142558,0.1345418079407706
N/A (combined evaluation),20,sum,comprehensiveness,0.0986785984569719,0.0900877278283694,0.1074941992735925
N/A (combined evaluation),30,max,comprehensiveness,0.0691457554943321,0.0609182016676545,0.0775480097171589
N/A (combined evaluation),30,mean,comprehensiveness,0.0913609772526893,0.0827665543258721,0.1001402856084443
N/A (combined evaluation),30,sum,comprehensiveness,0.0658004441005989,0.0575731471024256,0.0740254496830786
N/A (combined evaluation),10,max,suff_efficiency,-2.3412838507034768,-2.455926935857074,-2.228374510909016
N/A (combined evaluation),10,mean,suff_efficiency,-2.4656032263303533,-2.581761347002545,-2.351173604988426
N/A (combined evaluation),10,sum,suff_efficiency,-2.299202083638465,-2.412785834103546,-2.1882168331016416
N/A (combined evaluation),20,max,suff_efficiency,-1.046245874512613,-1.1030497646054078,-0.9896343433551448
N/A (combined evaluation),20,mean,suff_efficiency,-1.191851869269657,-1.252387411235237,-1.13239776519506
N/A (combined evaluation),20,sum,suff_efficiency,-1.0247692540143167,-1.0816508217592171,-0.9688026526918334
N/A (combined evaluation),30,max,suff_efficiency,-0.461276109652465,-0.495367223987373,-0.4276454291497889
N/A (combined evaluation),30,mean,suff_efficiency,-0.5675319063066626,-0.603827075502107,-0.5305916807201176
N/A (combined evaluation),30,sum,suff_efficiency,-0.4452226216548791,-0.4782706784765667,-0.4125396705587372
N/A (combined evaluation),10,max,sufficiency,-0.1825671692090709,-0.1918391015350128,-0.1733240792410187
N/A (combined evaluation),10,mean,sufficiency,-0.199345596307561,-0.2091176074410383,-0.1897440018425011
N/A (combined evaluation),10,sum,sufficiency,-0.1771273830055116,-0.186313224013171,-0.1681620940419236
N/A (combined evaluation),20,max,sufficiency,-0.1411434387936838,-0.1495134737007204,-0.1326662198391637
N/A (combined evaluation),20,mean,sufficiency,-0.1662769258375975,-0.1752936265391609,-0.1572752221749669
N/A (combined evaluation),20,sum,sufficiency,-0.1370250177787517,-0.1453256978473187,-0.1287090175704213
N/A (combined evaluation),30,max,sufficiency,-0.0911677353912397,-0.0986173019711266,-0.0837126124466999
N/A (combined evaluation),30,mean,sufficiency,-0.1169186574126589,-0.1250963227165742,-0.1086536094558025
N/A (combined evaluation),30,sum,sufficiency,-0.0871364343566029,-0.094480896718944,-0.0798171966527934
